キャリア,メーカー,端末名,画面解像度：横,画面解像度：縦,発売日
docomo,富士通,REGZA Phone T-01D,720,1280,2011/11/18
Softbank,シャープ,AQUOS PHONE THE HYBRID 101SH,480,854,2011/11/18
docomo,パナソニック,P-01D,480,800,2011/11/10
ソニー・エリクソン,イー・アクセス,Sony Ericsson mini S51SE,320,480,2011/10/28
docomo,富士通,ARROWS Tab LTE F-01D,800,1280,2011/10/19
docomo,サムスン,GALAXY Tab SC-01D,800,1280,2011/10/15
Softbank,Apple,iPhone 4S,640,960,2011/10/14
au,HTC,HTC EVO 3D ISW12HT,540,960,2011/10/07
au,Motorola,MOTOROLA PHOTON ISW11M,540,960,2011/10/07
Softbank,シャープ,Yahoo! Phone SoftBank 009SH Y,540,960,2011/09/23
イー・モバイル,Huawei,smart bar,480,800,2011/09/22
Softbank,Huawei,Vision SoftBank 007HW,480,800,2011/09/16
イー・モバイル,シャープ,GALAPAGOS A01SH,600,1024,2011/08/30
docomo,ソニーモバイルコミュニケーションズ,Xperia ray SO-03C,480,854,2011/08/27
Softbank,シャープ,AQUOS PHONE THE PREMIUM SoftBank 009SH,540,960,2011/08/26
au,東芝,Windows Phone IS12T,480,800,2011/08/25
Softbank,ZTE,シンプルスマートフォン SoftBank 008Z,480,800,2011/08/17
docomo,パナソニック,P-07C,480,854,2011/08/13
Softbank,パナソニック,Sweety SoftBank 003P,480,854,2011/08/12
docomo,富士通,F-12C,480,800,2011/08/07
docomo,シャープ,AQUOS PHONE f SH-13C,540,960,2011/08/06
au,カシオ,G’zOne IS11CA,480,800,2011/07/14
イー・モバイル,Huawei,Pocket WiFi S II S41HW,320,480,2011/07/14
docomo,ソニーモバイルコミュニケーションズ,Xperia acro SO-02C,480,854,2011/07/09
au,シャープ,INFOBAR A01,540,960,2011/06/30
au,シャープ,AQUOS PHONE IS11SH,540,960,2011/06/24
au,ソニーモバイルコミュニケーションズ,Xperia acro IS11S,480,854,2011/06/24
docomo,NECカシオ,MEDIAS WP N-06C,480,854,2011/06/24
docomo,サムスン,GALAXY S II SC-02C,480,800,2011/06/23
docomo,LG,Optimus bright L-07C,480,800,2011/06/18
Softbank,シャープ,AQUOS PHONE THE HYBRID 007SH,480,854,2011/06/17
Softbank,シャープ,AQUOS PHONE THE HYBRID SoftBank 007SH,480,854,2011/06/17
Softbank,シャープ,AQUOS PHONE SoftBank 006SH,540,960,2011/06/04
docomo,シャープ,AQUOS PHONE SH-12C,540,960,2011/05/20
au,HTC,htc EVO WiMAX ISW11HT,480,800,2011/04/15
au,Motorola,MOTOROLA XOOM Wi-Fi TBi11M,800,1280,2011/04/08
docomo,LG,Optimus Pad L-06C,768,1280,2011/03/31
docomo,ソニーモバイルコミュニケーションズ,Xperia arc SO-01C,480,854,2011/03/24
docomo,NECカシオ,MEDIAS N-04C,480,854,2011/03/15
Softbank,Apple,iPad 2,768,1024,2011/03/11
Softbank,シャープ,GALAPAGOS SoftBank 005SH,480,800,2011/02/25
ディズニー・モバイル,シャープ,DM009SH,480,800,2011/02/18
au,東芝,REGZA Phone IS04,480,854,2011/02/10
イー・モバイル,イー・アクセス,Pocket WiFi S S31HW,240,320,2011/01/14
Softbank,ZTE,Libero SoftBank 003Z,480,800,2010/12/24
au,Pantech,SIRIUSα IS06,480,800,2010/12/23
Softbank,Dell,DELL Streak 001DL,480,800,2010/12/20
docomo,富士通,REGZA Phone T-01C,480,854,2010/12/17
